filepath,label
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_ALA_C01_G1_D02_SPKM04_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_ALA_C05_G1_D06_SPKF03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_ALA_C06_G2_D03_SPKF03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_ALA_C10_G1_D01_SPKF03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_ALA_C14_G1_D05_SPKM05_V2_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_HAP_C04_G1_D03_SPKM04_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_HAP_C04_G1_D07_SPKM04_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_HAP_C04_G1_D11_SPKM04_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_HAP_C04_G1_D15_SPKM04_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S11_POK_C10_G1_D01_SPKF03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S14_RAC_C11_G1_D01_SPKM03_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S14_RAC_C11_G1_D03_SPKM03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S14_RAC_CO6_G1_D05_SPKM03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S15_FID_C13_G1_D04_SPKM07_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S15_RAN_C01_G1_D03_SPKM06_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S15_RAN_C03_G1_D02_SPKM06_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S15_RAN_C06_G1_D06_SPKM06_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S17_ASH_C01_G1_D03_SPKF06_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S17_RAN_C08_G1_D03_SPKM07_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S17_RVC_C09_G1_D07_SPKF06_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S18_MIR_C05_G1_D05_SPKM09_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S18_MIR_C09_G1_D01_SPKM09_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S18_SYE_C04_G1_D05_SPKM09_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S18_SYE_C04_G1_D07_SPKM09_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S18_SYE_C08_G1_D02_SPKM09_V2_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_GUR_C02_G2_D02_SPKF05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_RAC_C06_G1_D06_SPKM05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_RAC_C06_G1_D08_SPKM05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_RAC_C11_G1_D01_SPKM06_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_RAC_C11_G1_D03_SPKM06_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S19_RAC_C11_G1_D05_SPKM03_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C03_G2_D06_SPKF05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C04_G1_D02_SPKF05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C06_G1_D01_SPKF06_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C06_G1_D01_SPKF06_V2_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C06_G1_D02_SPKF06_V2_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S21_KIC_C09_G1_D01_SPKF05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S22_FID_C07_G1_D01_SPKF05_V1_AN5_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S23_OMF_C06_G2_D02_SPKM11_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S27_OMF_C04_G1_D06_SPKF13_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S27_OMF_C06_G1_D03_SPKF13_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S27_OMF_C06_G1_D05_SPKF13_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S27_OMF_C07_G1_D03_SPKF13_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S30_GUR_C01_G1_D01_SPKM12_V1_AN4_MMM.wav,angry
C:\Users\shiva\Desktop\ED TaI\telugu\angry\S32_JAM_C01_G1_D05_SPKM11_V1_AN5_MMM.wav,angry
